doi;names;results_from_orcid;
10.1074/jbc.m011695200; [Lee, Sohn, Rhee, Hwang]; [];
10.1017/s0029665109990206; [Wood, de Heredia, Wang, Trayhurn]; [0000-0002-2537-3327];
10.1161/01.atv.0000251608.09329.9a; [Suganami, Tanimoto-Koyama, Nishida, Itoh, Yuan, Mizuarai, Kotani, Yamaoka, Miyake, Aoe, Kamei, Ogawa]; [];
10.1016/j.cmet.2014.08.010; [Kratz, Coats, Hisert, Hagman, Mutskov, Peris, Schoenfelt, Kuzma, Larson, Billing, Landerholm, Crouthamel, Gozal, Hwang, Singh, Becker]; [0000-0003-0846-5462, 0000-0002-9237-3263];
10.1007/s12012-013-9214-2; [Wang, Li, Ran, Long, Zhang, Tao, Luo, Wang, Jiao, Mao, Ren]; [];
10.1038/emm.2003.56; [Chae, Kwak]; [];
10.1210/en.2006-0687; [Lacasa, Taleb, Keophiphath, Miranville, Clement]; [0000-0002-6650-619X];
10.1172/jci116495; [Liao, Andalibi, deBeer, Fogelman, Lusis]; [];
10.1016/j.cmet.2014.03.029; [Nagareddy, Kraakman, Masters, Stirzaker, Gorman, Grant, Dragoljevic, Hong, Abdel-Latif, Smyth, Choi, Korner, Bornfeldt, Fisher, Dixit, Tall, Goldberg, Murphy]; [0000-0002-0294-641X, 0000-0002-5755-0447, 0000-0002-8178-7102, 0000-0003-4763-576X, 0000-0002-8940-4196, 0000-0001-9802-143X, 0000-0001-7039-7777, 0000-0003-0740-8116];
10.1074/jbc.m706762200; [Nguyen, Favelyukis, Nguyen, Reichart, Scott, Jenn, Liu-Bryan, Glass, Neels, Olefsky]; [];
10.1152/ajpendo.00601.2014; [Zhao, Chen]; [];
10.1111/imm.12844; [Geric, Tyurina, Krysko, Krysko, De Schryver, Kagan, Van Veldhoven, Baes, Verheijden]; [0000-0002-9692-2047, 0000-0001-5019-0752, 0000-0003-0287-2091, 0000-0002-7245-1885];
10.1016/j.bbadis.2005.03.001; [Madsen, Petersen, Kristiansen]; [0000-0003-4468-1947];
10.1152/ajpendo.00523.2006; [Guo, Wong, Xie, Lei, Luo]; [0000-0001-8105-5289];
10.1074/jbc.m010286200; [Listenberger, Ory, Schaffer]; [];
10.1194/jlr.m200361-jlr200; [Lee, Plakidas, Lee, Heikkinen, Chanmugam, Bray, Hwang]; [];
10.1002/jcb.22289; [Pricola, Kuhn, Haleem-Smith, Song, Tuan]; [];
10.1210/jc.2002-021687; [van Hall, Steensberg, Sacchetti, Fischer, Keller, Schjerling, Hiscock, Møller, Saltin, Febbraio, Pedersen]; [0000-0001-7138-3211, 0000-0002-5365-5161, 0000-0001-6508-6288, 0000-0002-0657-9143];
10.1007/s00125-004-1403-x; [Carey, Bruce, Sacchetti, Anderson, Olsen, Saltin, Hawley, Febbraio]; [0000-0002-0886-9881, 0000-0003-1458-1689];
10.1016/j.it.2014.12.008; [Mauer, Denson, Brüning]; [0000-0002-0189-5876];
10.1080/14756366.2020.1766455; [Blandina, Provensi, Passani, Capasso, Supuran]; [0000-0003-4262-0323, 0000-0002-6182-6848, 0000-0003-3314-2411];
10.3389/fpsyg.2017.01454; [Tyng, Amin, Saad, Malik]; [0000-0002-8484-7203];
10.1146/annurev-psych-010814-014954; [McGaugh]; [];
10.1111/j.1467-8721.2008.00565.x; [Phelps, Sharot]; [];
10.1073/pnas.0609230103; [Sharot, Martorella, Delgado, Phelps]; [];
10.1146/annurev.neuro.23.1.155; [LeDoux]; [];
10.1098/rstb.2017.0209; [Visser, Lau-Zhu, Henson, Holmes]; [0000-0002-0712-2639, 0000-0001-5055-8617, 0000-0003-0376-8165];
10.1038/nrn4000; [Josselyn, Köhler, Frankland]; [0000-0003-1905-6453];
10.1016/s0166-2236(00)01885-3; [Cahill, McGaugh, Weinberger]; [];
10.1152/physrev.00018.2015; [Izquierdo, Furini, Myskiw]; [0000-0003-1609-7727, 0000-0002-7208-0869];
10.1146/annurev-neuro-071013-014119; [Phelps, Lempert, Sokol-Hessner]; [];
10.1101/lm.70204; [Tinsley]; [];
10.5214/ans.0972-7531.1017309; [Pavlov]; [];
10.1016/s0896-6273(01)00419-6; [Sweatt]; [0000-0003-3567-485X];
10.1523/jneurosci.19-21-09570.1999; [Sacchetti, Lorenzini, Baldi, Tassoni, Bucherelli]; [];
10.1073/pnas.1301209110; [McGaugh]; [];
10.1146/annurev.neuro.24.1.897; [Maren]; [0000-0002-9342-7411];
10.1007/bf02733986; [Nesse]; [0000-0003-1768-0949];
10.1016/s0896-6273(02)01064-4; [Myers, Davis]; [];
10.1016/s0896-6273(02)01017-6; [Myers, Davis]; [];
10.1097/00008877-200011000-00001; [Izquierdo, McGaugh]; [];
10.3389/fpsyg.2017.01867; [Dolcos, Katsumi, Weymar, Moore, Tsukiura, Dolcos]; [0000-0002-3968-9656];
10.1016/j.nlm.2014.11.014; [Schmidt, Myskiw, Furini, Schmidt, Cavalcante, Izquierdo]; [0000-0003-4063-5505, 0000-0003-1609-7727, 0000-0002-7208-0869];
10.1016/j.neuron.2017.03.037; [Vetere, Kenney, Tran, Xia, Steadman, Parkinson, Josselyn, Frankland]; [0000-0002-5814-4977, 0000-0001-8790-5184, 0000-0001-9815-1189, 0000-0003-3504-4524];
10.1146/annurev.psych.121208.131631; [Milad, Quirk]; [];
10.1007/s11248-011-9520-z; [Pan, Parkkila, Autio, Hilvo, Sormunen, Pastorekova, Pastorek, Haapasalo, Parkkila]; [0000-0001-7323-8536, 0000-0003-0663-5843];
10.1016/j.neuropharm.2017.03.009; [Canto de Souza, Provensi, Vullo, Carta, Scozzafava, Costa, Schmidt, Passani, Supuran, Blandina]; [0000-0002-7729-9069, 0000-0003-4868-3587, 0000-0002-6182-6848, 0000-0002-1352-1900, 0000-0002-8203-4903, 0000-0002-1141-6146, 0000-0003-4063-5505, 0000-0002-3693-3019];
10.1016/j.neuropharm.2012.11.031; [Yang, Chien, Lu, Liou, Fu]; [0000-0003-4157-8987];
10.2174/156802607780636762; [De Simone, Supuran]; [0000-0001-9783-5431];
10.1517/13543776.2013.790957; [Scozzafava, Supuran, Carta]; [0000-0001-5020-3322, 0000-0002-1141-6146];
10.1080/13543776.2019.1674285; [Supuran]; [0000-0003-4262-0323];
10.1517/13543776.2013.794788; [Masini, Carta, Scozzafava, Supuran]; [0000-0001-5020-3322, 0000-0002-1141-6146];
10.1080/14756366.2019.1697251; [Ozensoy Guler, Supuran, Capasso]; [0000-0003-4262-0323, 0000-0003-3314-2411];
10.3109/14756366.2015.1059333; [Ozensoy Guler, Capasso, Supuran]; [0000-0003-3314-2411];
10.1042/bcj20160115; [Supuran]; [];
10.1038/nrd2467; [Supuran]; [];
10.1038/nrd3554; [Neri, Supuran]; [0000-0001-5234-7370];
10.4155/fmc-2017-0223; [Supuran]; [];
10.3109/14756366.2014.910202; [Capasso, Supuran]; [0000-0003-3314-2411];
10.1586/14737175.2015.1066675; [Supuran]; [];
10.1080/14737175.2016.1193009; [Supuran]; [];
10.2174/156802607780636726; [Thiry, Dogne, Supuran, Masereel]; [];
10.1016/j.neuint.2005.08.007; [Halmi, Parkkila, Honkaniemi]; [0000-0001-7323-8536];
10.2174/1568026617666170104101058; [Capasso, Supuran]; [0000-0003-3314-2411];
10.1016/j.jinorgbio.2011.11.017; [De Simone, Supuran]; [0000-0001-9783-5431];
10.1080/14756366.2018.1538980; [Logozzi, Capasso, Di Raimo, Del Prete, Mizzoni, Falchi, Supuran, Fais]; [0000-0002-3902-753X, 0000-0003-4262-0323, 0000-0002-8290-5406, 0000-0003-3314-2411];
10.1021/acsmedchemlett.8b00170; [Melis, Distinto, Bianco, Meleddu, Cottiglia, Fois, Taverna, Angius, Alcaro, Ortuso, Gaspari, Angeli, Del Prete, Capasso, Supuran, Maccioni]; [0000-0003-1620-6225, 0000-0003-1629-7454, 0000-0003-3314-2411, 0000-0002-1470-7192];
10.3109/14756366.2012.672983; [Supuran]; [];
